Id,Text,Summary
0,we currently profile your personal data for the following purpose to ensure that you receive our emails and newsletters in your local language and or relevant to the products and services we provide in your country,payment information
1,in order to operate our services we keep track of how you interact with our site and what links you decide to click on this includes links on the website blog help center emails ads and live chat support,synchronization
2,our security measures include encryption of data penetration testing of systems and security controls which protect our systems from external attack and unauthorised access,trade show 
3,we may notify you about these changes through email or other communications,procedure of unwillingly collecting not allowed data
4,adobe advertises online in a variety of ways including displaying adobe ads to you on other companies websites and apps and on social media platforms such as facebook and linkedin adobe websites use cookies and similar technologies provided by our own company adobe experience cloud and other companies that allow us to gather additional information to measure and improve the effectiveness of our advertising we collect information such as which ads are displayed which ads are clicked on and  where the ad was displayed,vendors and service providers
5,anyone can see the public boards and pins you create and the profile information you give us we may also make this public information available through what are called apis basically a technical way to share information quickly for example a partner might use a pinterest api to study what their most popular pins are or how their pins are being shared on pinterest the other limited instances where we may share your personal information include,education information
6,safety security and integrity safety security and integrity are an integral part of our services we use information we have to verify accounts and activity combat harmful conduct protect users against bad experiences and spam and promote safety security and integrity on and off our services such as by investigating suspicious activity or violations of our terms and policies and to ensure our services are being used legally please see the law our rights and protection section below for more information,accessing personal information
7,if you use our services from a mobile device that device will send us data about your location based on your phone settings we will ask you to opt in before we use gps or other tools to identify your precise location,google cloud
8,we may share with third parties certain pieces of aggregated nonpersonal information such as the number of users who used a type of document or how many users clicked on a particular advertisement such information does not identify you individually,where are the log files stored
9,media forwarding when a user forwards media within a message we store that media temporarily in encrypted form on our servers to aid in more efficient delivery of additional forwards,application logs and errors
10,we use the collected data for various purposes including to fulfill any other purpose for which you provide it,promote safety integrity and security
